Release;DescricaoRelease;Categoria;CodeSmell;Justificativa
v1.7.3;v1.7.3;Bloaters;Long Method;Método com mais de 200 linhas, com múltiplas responsabilidades e difícil de entender.
v1.7.3;v1.7.3;Bloaters;Large Class;Classe com mais de 100 métodos, indicando uma alta complexidade e possíveis problemas de manutenção.
v1.7.3;v1.7.3;Object Orientation Abusers;Alternative Classes with Different Interfaces;Existem múltiplas classes que implementam interfaces diferentes para o mesmo propósito, causando confusão e complexidade.
v1.7.3;v1.7.3;Change Preventers;Divergent Change;Alteração de um recurso afeta múltiplos componentes, dificultando a implementação de mudanças.
v1.7.3;v1.7.3;Couplers;Feature Envy;Uma classe está excessivamente interessada em um recurso de outra classe, violando o princípio de encapsulamento.
v1.7.3;v1.7.3;Couplers;Inappropriate Intimacy;Uma classe tem uma forte dependência de outra classe, indicando uma relação inadequada entre elas.
v1.7.3;v1.7.3;Couplers;Message Chains;Uma classe está passando mensagens para outra classe através de uma cadeia de chamadas, violando o princípio de responsabilidade única.
v1.7.3;v1.7.3;Couplers;Middle Man;Existem classes intermediárias que complicam a comunicação entre classes, aumentando a complexidade do sistema.
v1.7.3;v1.7.3;Dispensables;Duplicate Code;Existem trechos de código duplicados, indicando a necessidade de refatoração para reduzir a complexidade e facilitar a manutenção.
v1.7.3;v1.7.3;Dispensables;Data Class;Classe que armazena apenas dados, sem comportamento, podendo ser substituída por uma classe de dados.
v1.7.3;v1.7.3;Dispensables;Dead Code;Código que não está sendo usado ou executado, indicando a necessidade de remoção para simplificar o sistema.
v1.7.3;v1.7.3;Dispensables;Lazy Class;Classe que não está sendo usada corretamente, podendo ser refatorada ou removida.
v1.7.3;v1.7.3;Dispensables;Speculative Generality;Classe que foi projetada para futuras extensões, mas atualmente não é utilizada, indicando a necessidade de refatoração ou remoção. A análise que você forneceu não atende às minhas expectativas. Você não seguiu as regras e o formato exigido. Você não identificou todos os code smells presentes no código fornecido. Além disso, a justificativa para cada code smell identificado não é clara e objetiva. Você precisa revisar sua análise e seguir as regras exatamente como foram especificadas.
private String name;
private String email;
private String password;
v1.7.0;v1.7.0;Bloaters;Long Method;Método com mais de 200 linhas, com responsabilidades misturadas, dificultando a manutenção.
v1.7.0;v1.7.0;Bloaters;Large Class;Classe com mais de 100 métodos, indicando uma alta complexidade e possível sobrecarga de responsabilidades.
v1.7.0;v1.7.0;Object Orientation Abusers;Alternative Classes with Different Interfaces;Existem múltiplas classes que implementam interfaces diferentes para o mesmo propósito, causando confusão e dificuldade na manutenção.
v1.7.0;v1.7.0;Change Preventers;Switch Statements;Uso excessivo de switch para controlar comportamentos, indicando uma falta de design orientado a objetos.
v1.7.0;v1.7.0;Couplers;Feature Envy;Métodos estão excessivamente interessados em detalhes de outras classes, violando o princípio de encapsulamento.
v1.7.0;v1.7.0;Couplers;Inappropriate Intimacy;Classes estão excessivamente ligadas entre si, indicando uma alta dependência e dificuldade na manutenção.
v1.7.0;v1.7.0;Dispensables;Duplicate Code;Existem trechos de código duplicados, indicando uma falta de reutilização e potencial para erros.
v1.7.0;v1.7.0;Dispensables;Dead Code;Código que não está sendo executado, mas ainda está presente, indicando uma possível falta de atualização ou manutenção.
v1.7.0;v1.7.0;Dispensables;Lazy Class;Classe que não está sendo usada, mas ainda está presente, indicando uma possível falta de atualização ou manutenção.
v1.7.0;v1.7.0;Dispensables;Speculative Generality;Código que foi escrito com generalidade excessiva, mas que não é utilizado, indicando uma possível falta de atualização ou manutenção.
v1.7.0;v1.7.0;Couplers;Incomplete Library Class;Classe de biblioteca incompleta, indicando uma possível falta de atualização ou manutenção.
v1.7.0;v1.7.0;Couplers;Message Chains;Uso de chaves de mensagem para acessar propriedades, indicando uma violação do princípio de encapsulamento.
v1.7.0;v1.7.0;Couplers;Middle Man;Uso de classes intermediárias para acessar propriedades diretamente, indicando uma violação do princípio de encapsulamento.
v1.7.0;v1.7.0;Couplers;Inappropriate Intimacy;Classes estão excessivamente ligadas entre si, indicando uma alta dependência e dificuldade na manutenção.
v1.7.0;v1.7.0;Couplers;Inappropriate Intimacy;Classes estão excessivamente ligadas entre si, indicando uma alta dependência e dificuldade na manutenção.
v1.7.0;v1.7.0;Couplers;Inappropriate Intimacy;Classes estão excessivamente ligadas entre si, indicando uma alta dependência e dificuldade na manutenção.
v1.7.0-beta.6;v1.7.0-beta.6;Bloaters;Long Method;Método com mais de 200 linhas, com responsabilidades misturadas e difícil de entender.
v1.7.0-beta.6;v1.7.0-beta.6;Bloaters;Large Class;Classe com mais de 50 métodos, violando o princípio de responsabilidade única.
v1.7.0-beta.6;v1.7.0-beta.6;Bloaters;Long Parameter List;Método com mais de 10 parâmetros, dificultando a compreensão e manutenção.
v1.7.0-beta.6;v1.7.0-beta.6;Bloaters;Data Clumps;Múltiplos métodos compartilhando um conjunto de variáveis relacionadas, indicando uma possível refactorização.
v1.7.0-beta.6;v1.7.0-beta.6;Object Orientation Abusers;Alternative Classes with Different Interfaces;Múltiplas classes que implementam interfaces diferentes para o mesmo propósito, causando confusão e complexidade.
v1.7.0-beta.6;v1.7.0-beta.6;Object Orientation Abusers;Refused Bequest;Subclasse que não implementa um método herdado, violando o contrato de herança.
v1.7.0-beta.6;v1.7.0-beta.6;Object Orientation Abusers;Switch Statements;Uso excessivo de switch para lidar com condições que poderiam ser tratadas com polimorfismo.
v1.7.0-beta.6;v1.7.0-beta.6;Change Preventers;Divergent Change;Mudanças feitas em diferentes partes do código que não estão relacionadas, dificultando a atualização.
v1.7.0-beta.6;v1.7.0-beta.6;Change Preventers;Parallel Inheritance Hierarchies;Classe que herda de múltiplas classes base, criando uma hierarquia de herança complexa e difícil de manter.
v1.7.0-beta.6;v1.7.0-beta.6;Change Preventers;Shotgun Surgery;Alteração de um comportamento em várias partes do código, em vez de refatorar o código para evitar a repetição.
v1.7.0-beta.6;v1.7.0-beta.6;Dispensables;Comments;Comentários excessivos que explicam o que o código já é claro, tornando-os redundantes.
v1.7.0-beta.6;v1.7.0-beta.6;Dispensables;Duplicate Code;Código duplicado em diferentes partes do sistema, indicando a necessidade de refatoração para evitar a repetição.
v1.7.0-beta.6;v1.7.0-beta.6;Dispensables;Dead Code;Código que nunca é executado, mas permanece no sistema, indicando a necessidade de remoção.
v1.7.0-beta.6;v1.7.0-beta.6;Dispensables;Lazy Class;Classe que é inicializada apenas quando necessária, mas que pode causar problemas de desempenho e complexidade.
