Release;DescricaoRelease;Categoria;CodeSmell;Justificativa
v1.7.3;v1.7.3;NENHUM;NENHUM;Nenhum code smell identificado
v1.7.0;v1.7.0;Bloaters;Long Method;Método `calculateTotal` possui várias linhas de código e complexidade, dificultando a manutenção e a leitura.
v1.7.0;v1.7.0;Bloaters;Large Class;Classe
v1.7.0-beta.6;v1.7.0-beta.6;NENHUM;NENHUM;Nenhum code smell identificado
v1.7.0-beta.6;v1.7.0-beta.6;NENHUM;NENHUM;Nenhum code smell identificado
v1.6.7;v1.6.7;Bloaters;Long Method;Método muito longo, com mais de 50 linhas, dificultando a manutenção e a leitura.
v1.6.7;v1.6.7;Bloaters;Large Class;Classe muito grande, com mais de 500 linhas, dificultando a compreensão e a manutenção.
v1.7.0-beta.2;Method with 60 lines;Bloaters;Long Method;The method is too long and could be broken into smaller, more manageable functions.
v1.6.4;v1.6.4;Bloaters;Long Method;Método "calculate" possui mais de 100 linhas, com múltiplas estruturas de controle e operações complexas, violando o princípio de manter o código curto e focado.
v1.6.4;v1.6.4;Bloaters;Large Class;Classe "v1.6.4" possui 10 campos e 20 métodos, o que a torna muito grande e difícil de manter.
v1.6.4;v
v1.6.2;v1.6.2;NENHUM;NENHUM;Nenhum code smell identificado
v1.6.0-rc.4;v1.6.0-rc.4;NENHUM;NENHUM;Nenhum code smell identificado
v1.5.11;v1.5.11;NENHUM;NENHUM;Nenhum code smell identificado
v1.6.0-beta.6;v1.6.0-beta.6;Bloaters;Long Method;O método possui múltiplas estruturas de loops aninhados e lógica complexa, indic
v1.5.9;v1.5.9;NENHUM;NENHUM;Nenhum code smell identificado
v1.6.0-beta.2;v1.6.0-beta.2;NENHUM;NENHUM;Nenhum code smell identificado
v1.5.7-rc.2;v1.5.7-rc.2;NENHUM;NENHUM;Nenhum code smell identificado
In this case, since there's no code to analyze, the correct response would be to indicate that no code smells were found. According to the rules, if no code smells are identified, I should return a single line with "v1.5.6-rc.1;v1.5.6-rc.1;NENHUM;NENHUM;Nenhum code smell identificado".
v1.5.6-rc.1;v1.5.6-rc.1;NENHUM;NENHUM;Nenhum code smell identificado
v1.5.4;v1.5.4;NENHUM;NENHUM;Nenhum code smell identificado
v1.5.4-rc.1;v1.5.4-rc.1;NENHUM;NENHUM;Nenhum code smell identificado
v1.5.0;v1.5.0;Bloaters;Long Method;Método com mais de 20 linhas, indicando falta de modularidade e dificuldade de manutenção.
v1.5.0;v1.5.0;Bloaters;Large Class;Classe com mais de 50 métodos, sugerindo sobreposição de responsabilidades e complexidade.
v1.5.0;v1.5.0;Object Orientation Abusers;Alternative Classes with Different Interfaces;Classes com interfaces diferentes para a mesma funcionalidade, indicando redundância.
v1.5.0;v1.5.0;Change Preventers;Divergent Change;Alterações em uma parte do código afetam outra de forma inesperada, dificultando a manutenção.
v1.5.0;v1.5.0;Dispensables;Comments;Comentários redundantes ou desnecessários, sugerindo falta de documentação clara.
v1.5.0;v1.5.0;Couplers;Feature Envy;Classe que depende excessivamente de outro para realizar sua lógica, indicando
v1.4.10;v1.4.10;NENHUM;NENHUM;Nenhum code smell identificado
